ID,Warehouse_block,Mode_of_Shipment,Customer_care_calls,Customer_rating,Cost_of_the_Product,Prior_purchases,Product_importance,Gender,Discount_offered,Weight_in_gms,Reached.on.Time_Y.N,Predicted_Delay,Delay_Confidence_%
4620,F,Ship,6,5,215,4,medium,M,5,5409,1,No,42.2
4621,D,Ship,3,3,169,3,low,F,9,4317,1,No,44.4
4622,F,Ship,3,3,149,4,medium,F,3,5944,1,No,46.6
4623,A,Ship,4,1,223,3,low,F,9,4832,0,No,43.3
4624,B,Ship,5,3,224,2,low,M,6,5962,1,No,44.3
4625,C,Ship,2,5,186,2,medium,M,10,4506,0,No,40.9
4626,F,Ship,4,4,184,3,medium,F,2,5381,0,No,43.3
4627,D,Ship,3,1,152,3,low,F,3,5839,1,No,43.4
4628,F,Ship,5,3,249,2,low,F,9,4568,0,No,43.5
4629,A,Ship,3,3,173,5,medium,F,10,5840,0,No,39.4
4630,B,Ship,5,5,167,2,medium,M,2,5908,0,No,45.9
4631,C,Ship,5,2,230,2,medium,M,9,4483,0,No,43.6
4632,F,Road,5,3,237,3,low,F,8,5131,0,No,45.0
4633,D,Road,3,4,202,5,high,M,5,4632,0,No,41.8
4634,F,Road,4,3,134,4,low,M,3,5233,0,No,41.3
4635,A,Road,5,3,263,3,medium,F,2,4688,0,No,45.6
4636,B,Road,5,2,272,2,low,F,1,5412,0,No,45.9
4637,C,Road,4,2,231,6,low,M,8,5227,0,No,42.6
4638,F,Road,3,4,190,4,medium,F,7,5963,1,No,45.9
4639,D,Road,5,4,223,2,low,M,5,4424,1,No,44.5
4640,F,Road,5,1,257,3,medium,F,5,4355,0,No,45.9
4641,A,Road,4,4,184,3,medium,M,2,4639,0,No,43.6
4642,B,Road,3,5,193,3,medium,M,1,5810,1,No,47.2
4643,C,Road,4,3,204,2,low,F,7,4717,1,No,42.8
4644,F,Road,3,2,236,3,medium,M,8,5783,0,No,44.8
4645,D,Road,5,3,222,2,medium,M,3,4460,1,No,44.8
4646,F,Road,4,1,140,5,medium,M,6,4001,1,Yes,66.2
4647,A,Road,3,1,204,3,high,F,9,5093,0,No,43.3
4648,B,Road,3,2,271,2,medium,M,6,5280,1,No,42.6
4649,C,Road,3,1,108,6,medium,F,7,4024,0,Yes,55.5
4650,F,Road,4,1,206,3,low,F,4,4745,0,No,43.4
4651,D,Road,3,2,180,2,high,F,8,4408,0,No,42.8
4652,F,Road,3,2,193,3,low,F,7,5224,0,No,43.5
4653,A,Road,5,1,238,4,medium,M,10,4668,0,No,41.1
4654,B,Flight,5,3,234,3,low,F,6,4632,0,No,45.3
4655,C,Flight,2,5,271,2,low,F,5,5164,1,No,41.2
4656,F,Flight,5,2,102,5,medium,F,3,4784,0,No,42.3
4657,D,Flight,3,1,185,3,medium,M,7,5474,1,No,43.5
4658,F,Flight,4,1,273,2,high,F,10,5832,1,No,41.3
4659,A,Flight,6,3,233,6,low,F,9,4814,0,No,41.7
4660,B,Flight,5,3,191,2,medium,M,7,5783,1,No,45.5
4661,C,Flight,4,4,239,2,medium,M,4,4304,1,No,43.4
4662,F,Flight,3,3,270,3,low,M,7,4152,0,No,44.2
4663,D,Flight,5,2,279,4,low,F,8,4418,1,No,42.4
4664,F,Flight,5,1,233,4,high,M,2,4615,1,No,42.0
4665,A,Flight,3,3,178,4,high,M,3,4154,1,No,41.4
4666,B,Flight,3,4,184,4,medium,M,2,4052,0,No,48.0
4667,C,Flight,3,5,202,3,low,M,2,5208,0,No,43.5
4668,F,Flight,3,3,149,2,medium,M,3,4527,0,No,42.6
4669,D,Flight,5,2,133,2,high,F,2,4556,0,No,44.7
4670,F,Flight,4,4,224,5,low,F,9,4902,1,No,41.5
4671,A,Flight,4,2,252,2,medium,F,6,5414,0,No,42.4
4672,B,Flight,4,3,208,2,medium,M,6,4276,1,No,43.5
4673,C,Flight,5,3,256,2,low,M,3,4456,0,No,44.8
4674,F,Flight,3,5,206,4,medium,M,10,4321,1,No,40.7
4675,D,Flight,2,1,177,4,low,F,5,4358,0,No,40.6
4676,F,Ship,4,4,269,4,medium,F,3,5032,1,No,41.3
4677,A,Ship,3,5,216,3,high,F,2,4242,0,No,45.0
4678,B,Ship,3,2,221,3,high,F,7,5477,0,No,43.5
4679,C,Ship,5,4,210,3,medium,F,6,5102,0,No,45.2
4680,F,Ship,4,5,205,3,medium,F,9,4411,0,No,43.7
4681,D,Ship,3,3,237,3,low,F,7,4062,0,Yes,54.1
4682,F,Ship,5,4,139,2,medium,F,2,4217,1,No,45.5
4683,A,Ship,4,4,163,3,low,M,3,4185,1,No,44.2
4684,B,Ship,4,4,171,2,low,M,4,4962,0,No,42.8
4685,C,Ship,4,3,261,3,low,F,9,5994,1,No,49.0
4686,F,Ship,4,3,195,2,low,M,8,4576,0,No,42.2
4687,D,Ship,4,2,190,6,high,M,5,4139,1,No,42.4
4688,F,Ship,5,5,236,3,high,M,4,5724,1,No,46.0
4689,A,Ship,3,4,254,3,medium,M,6,5716,0,No,43.9
4690,B,Ship,3,3,157,3,medium,M,10,4877,0,No,43.1
4691,C,Ship,3,1,245,3,medium,F,1,5325,0,No,44.8
4692,F,Ship,4,1,144,4,medium,M,8,4303,0,No,41.6
4693,D,Ship,5,3,217,4,low,M,3,5718,1,No,43.3
4694,F,Ship,3,3,249,2,low,F,2,5078,0,No,43.4
4695,A,Ship,3,2,176,2,low,F,2,5083,0,No,43.4
4696,B,Ship,3,1,230,2,low,F,1,4970,1,No,44.7
4697,C,Ship,3,5,204,2,medium,F,5,4504,1,No,43.1
4698,F,Ship,4,4,266,2,low,F,5,5601,0,No,42.3
4699,D,Ship,4,3,213,3,low,F,2,5722,0,No,44.7
4700,F,Ship,3,4,147,3,low,F,8,5525,0,No,43.6
4701,A,Ship,3,1,201,3,low,F,3,4556,1,No,43.2
4702,B,Ship,2,4,248,3,low,F,5,5441,0,No,41.6
4703,C,Ship,4,3,167,3,medium,M,5,5791,0,No,44.4
4704,F,Ship,3,4,232,2,low,M,10,5678,0,No,41.9
4705,D,Ship,5,3,163,3,medium,M,9,4419,1,No,45.9
4706,F,Ship,4,4,201,5,medium,M,3,5901,1,No,45.7
4707,A,Ship,4,5,252,2,low,F,9,4157,0,No,41.0
4708,B,Ship,3,1,146,4,low,F,10,4583,0,No,40.7
4709,C,Ship,5,1,160,3,medium,M,3,5839,0,No,45.1
4710,F,Ship,5,2,167,4,low,M,10,4325,0,No,41.6
4711,D,Ship,4,2,224,2,medium,F,8,4781,1,No,42.8
4712,F,Ship,4,2,239,3,medium,F,5,5978,0,No,42.5
4713,A,Ship,4,1,151,6,low,M,7,4387,0,No,42.5
4714,B,Ship,4,5,264,3,low,F,10,5972,0,No,40.4
4715,C,Ship,4,2,242,3,medium,M,8,4644,1,No,43.6
4716,F,Ship,3,3,204,4,high,M,9,4712,0,No,41.0
4717,D,Ship,3,5,260,2,medium,M,1,5970,0,No,44.8
4718,F,Ship,3,2,279,3,medium,F,6,4560,0,No,43.0
4719,A,Ship,3,4,225,4,low,F,8,5209,0,No,42.3
4720,B,Ship,3,5,190,3,low,M,9,4468,0,No,43.3
4721,C,Ship,4,2,152,2,low,M,7,5026,0,No,42.7
4722,F,Ship,3,2,201,6,medium,M,7,4723,1,No,42.6
4723,D,Ship,3,2,191,2,medium,M,7,5357,0,No,42.6
4724,F,Ship,4,3,140,3,low,M,1,4453,0,No,44.5
4725,A,Ship,5,3,199,4,medium,F,8,5362,0,No,42.6
4726,B,Ship,4,1,194,3,medium,F,6,5282,0,No,43.2
4727,C,Ship,4,2,273,2,low,F,5,5608,1,No,42.3
4728,F,Ship,4,5,259,2,medium,F,4,4092,1,Yes,51.3
4729,D,Ship,4,3,180,3,medium,M,5,4038,1,Yes,56.5
4730,F,Ship,5,3,251,2,low,M,9,4458,0,No,43.8
4731,A,Ship,5,1,269,3,low,F,5,5031,0,No,45.1
4732,B,Ship,6,3,274,6,medium,F,2,4281,0,No,41.3
4733,C,Ship,5,5,250,2,medium,M,10,5475,1,No,43.6
4734,F,Ship,3,5,265,3,medium,F,8,5980,0,No,43.0
4735,D,Ship,4,3,169,10,medium,F,6,5106,1,No,43.3
4736,F,Ship,3,4,211,3,high,M,8,5191,1,No,43.3
4737,A,Ship,4,4,245,2,low,M,6,5772,0,No,44.7
4738,B,Ship,4,1,188,2,low,M,6,5894,1,No,42.8
4739,C,Ship,3,5,244,2,medium,F,10,4064,1,Yes,52.8
4740,F,Ship,3,5,233,3,medium,F,7,5787,0,No,44.7
4741,D,Ship,3,1,144,3,medium,F,6,4163,0,No,44.0
4742,F,Ship,3,5,221,2,low,F,6,5289,0,No,42.5
4743,A,Ship,3,5,267,2,high,M,2,5062,1,No,43.4
4744,B,Ship,3,1,211,3,high,F,7,5178,0,No,43.2
4745,C,Ship,4,1,205,3,low,F,10,4923,0,No,43.1
4746,F,Ship,3,2,144,3,high,M,1,5307,0,No,44.8
4747,D,Ship,3,3,195,7,medium,F,4,4614,0,No,42.5
4748,F,Ship,5,5,232,7,medium,M,6,5139,0,No,42.6
4749,A,Ship,5,3,199,10,medium,F,1,5865,0,No,39.7
4750,B,Ship,5,5,232,3,low,F,5,5338,0,No,44.8
4751,C,Ship,5,4,272,2,low,F,1,5983,1,No,47.5
4752,F,Ship,2,4,167,2,medium,M,1,4344,0,No,42.2
4753,D,Ship,3,4,272,8,high,F,10,4070,0,No,47.3
4754,F,Ship,6,2,247,4,low,M,10,1556,0,No,45.8
4755,A,Ship,5,5,275,4,medium,M,9,1215,1,No,45.9
4756,B,Ship,6,4,291,4,low,F,8,1131,0,No,46.4
4757,C,Ship,6,5,265,4,low,M,7,1404,1,No,46.3
4758,F,Ship,7,3,250,5,medium,F,4,1163,1,No,46.2
4759,D,Ship,7,2,291,4,low,F,8,1275,0,No,47.0
4760,F,Ship,6,5,255,4,low,F,9,1197,0,No,45.8
4761,A,Ship,6,5,290,4,medium,M,2,1867,1,No,48.2
4762,B,Ship,5,5,276,4,low,M,2,1411,1,No,48.3
4763,C,Ship,4,1,149,3,medium,F,8,1136,0,Yes,81.4
4764,F,Ship,3,3,201,6,medium,M,2,4984,0,No,41.9
4765,D,Ship,3,4,191,2,medium,M,8,5667,1,No,42.7
4766,F,Ship,4,4,140,3,low,F,4,5924,1,No,43.4
4767,A,Ship,5,4,199,4,medium,M,2,4902,1,No,42.4
4768,B,Ship,4,1,194,3,medium,F,9,5804,0,No,44.2
4769,C,Road,4,5,273,2,low,F,9,5724,0,No,43.3
4770,F,Road,4,4,259,2,medium,F,8,4672,0,No,42.8
4771,D,Road,4,5,180,3,medium,F,1,5088,0,No,44.7
4772,F,Road,5,4,251,2,low,F,3,5347,1,No,44.2
4773,A,Road,5,3,269,3,low,F,8,4811,0,No,45.3
4774,B,Road,6,3,274,6,medium,F,1,4632,0,No,43.3
4775,C,Road,5,2,250,2,medium,F,6,5565,0,No,44.0
4776,F,Road,3,3,265,3,medium,F,3,5241,0,No,43.5
4777,D,Road,4,5,169,10,medium,F,6,4385,0,No,42.9
4778,F,Road,3,3,211,3,high,F,4,4354,1,No,43.8
4779,A,Road,4,1,245,2,low,M,5,5324,1,No,42.3
4780,B,Road,4,5,188,2,low,F,4,4433,0,No,43.0
4781,C,Road,3,5,244,2,medium,M,8,5715,1,No,43.2
4782,F,Road,3,4,233,3,medium,F,10,4626,0,No,43.0
4783,D,Road,3,4,144,3,medium,M,8,5867,1,No,41.9
4784,F,Road,3,1,221,2,low,F,7,5320,0,No,42.6
4785,A,Road,3,5,267,2,high,M,1,4195,1,No,46.0
4786,B,Road,3,4,211,3,high,M,1,5144,0,No,45.0
4787,C,Road,4,4,205,3,low,M,6,4254,0,No,44.0
4788,F,Road,3,2,144,3,high,F,9,4428,1,No,43.6
4789,D,Road,3,4,195,7,medium,F,9,5829,0,No,42.7
4790,F,Road,5,3,232,7,medium,M,6,5285,1,No,42.5
4791,A,Flight,5,1,199,10,medium,F,8,4140,0,No,43.5
4792,B,Flight,5,5,232,3,low,F,3,5718,1,No,45.9
4793,C,Flight,5,3,272,2,low,F,4,5112,0,No,44.3
4794,F,Flight,2,2,167,2,medium,F,3,5894,1,No,42.7
4795,D,Flight,3,3,272,8,high,M,7,5257,1,No,44.2
4796,F,Flight,6,4,247,4,low,F,2,1326,0,No,48.2
4797,A,Flight,5,2,275,4,medium,F,10,1141,1,No,46.3
4798,B,Flight,6,5,291,4,low,M,9,1413,0,No,45.4
4799,C,Flight,6,1,265,4,low,F,7,1644,1,No,46.5
4800,F,Flight,7,2,250,5,medium,M,9,1327,0,No,45.7
4801,D,Flight,7,1,291,4,low,M,2,1216,1,No,48.8
4802,F,Flight,6,1,255,4,low,F,2,1385,0,No,48.4
4803,A,Flight,6,2,290,4,medium,F,9,1339,0,No,45.4
4804,B,Flight,6,3,247,4,medium,F,4,1476,1,No,46.4
4805,C,Flight,6,2,152,2,low,F,9,1993,0,Yes,67.3
4806,F,Flight,7,5,278,4,low,F,5,1572,1,No,47.0
4807,D,Flight,6,1,260,4,medium,F,2,1131,0,No,48.3
4808,F,Flight,6,3,254,4,low,M,6,1335,0,No,45.6
4809,A,Flight,2,4,151,4,low,F,6,1803,0,Yes,54.3
4810,B,Flight,2,5,198,2,medium,M,4,1913,1,Yes,83.1
4811,C,Flight,6,4,243,4,low,M,9,1353,1,No,45.4
4812,F,Flight,6,5,245,4,low,F,8,1403,0,No,46.2
4813,D,Ship,6,4,300,4,low,F,8,1301,1,No,46.3
4814,F,Ship,6,1,303,4,medium,F,10,1003,0,No,42.2
4815,A,Ship,7,3,286,4,low,F,3,1670,0,No,48.7
4816,B,Ship,7,2,248,4,medium,F,1,1163,1,No,49.0
4817,C,Ship,6,5,244,4,low,M,9,1789,1,No,45.5
4818,F,Ship,7,1,290,4,low,F,9,1885,0,No,45.6
4819,D,Ship,4,3,260,5,low,M,10,1832,1,No,47.3
4820,F,Ship,6,5,310,4,medium,M,1,1105,1,No,48.2
4821,A,Ship,6,3,247,4,low,M,3,1616,1,No,48.1
4822,B,Ship,6,5,281,4,low,M,8,1241,1,No,46.4
4823,C,Ship,6,3,260,4,medium,M,9,1800,0,No,45.4
4824,F,Ship,6,1,263,4,low,F,6,1153,0,No,45.7
4825,D,Ship,5,1,285,4,medium,F,10,1428,0,No,45.9
4826,F,Ship,3,4,269,3,medium,M,9,5133,1,No,43.3
4827,A,Ship,2,5,205,6,low,M,2,5671,0,No,40.0
4828,B,Ship,3,2,109,3,low,M,4,5746,0,No,44.6
4829,C,Ship,5,4,216,2,low,F,6,4535,0,No,44.2
4830,F,Ship,3,2,184,3,medium,F,8,4994,0,No,43.5
4831,D,Ship,4,4,106,2,low,M,6,5984,0,No,42.5
4832,F,Ship,3,1,228,2,low,F,5,4456,1,No,43.3
4833,A,Ship,4,5,140,3,medium,F,8,4956,0,No,43.5
4834,B,Ship,4,3,251,3,medium,M,5,4206,0,No,44.3
4835,C,Ship,3,3,153,3,medium,M,5,4578,1,No,43.4
4836,F,Ship,4,4,176,2,medium,F,1,5793,0,No,47.1
4837,D,Ship,4,3,206,2,medium,F,4,5194,1,No,42.6
4838,F,Ship,3,3,189,2,low,F,9,4690,0,No,42.3
4839,A,Ship,2,2,251,6,medium,F,1,4165,1,No,41.9
4840,B,Ship,4,3,155,3,low,F,1,4360,1,No,44.5
4841,C,Ship,6,4,260,5,medium,M,2,4687,1,No,42.3
4842,F,Ship,5,1,156,6,medium,F,4,4821,0,No,42.2
4843,D,Ship,4,2,225,2,medium,M,7,5241,1,No,42.7
4844,F,Ship,6,5,284,4,medium,M,8,5346,1,No,43.1
4845,A,Ship,5,3,263,2,low,M,3,4474,1,No,44.5
4846,B,Ship,3,3,238,2,medium,M,2,5512,0,No,43.2
4847,C,Ship,5,4,267,2,low,M,7,5292,0,No,44.4
4848,F,Ship,3,3,101,2,medium,M,9,4860,0,No,42.3
4849,D,Ship,3,1,175,3,medium,M,1,4872,0,No,44.9
4850,F,Ship,4,5,261,2,low,M,3,4119,0,Yes,51.1
4851,A,Ship,5,3,150,3,low,M,10,4799,1,No,45.1
4852,B,Ship,3,5,206,4,medium,F,2,5829,1,No,43.4
4853,C,Ship,4,4,254,4,low,F,10,4827,0,No,40.6
4854,F,Ship,4,2,159,3,low,M,5,4985,1,No,43.3
4855,D,Ship,2,5,284,3,medium,M,6,4575,0,No,41.3
4856,F,Ship,3,1,170,2,low,M,9,4112,0,No,48.4
4857,A,Ship,4,5,245,3,low,F,7,4297,0,No,44.7
4858,B,Ship,4,5,152,3,medium,M,5,5191,0,No,43.0
4859,C,Ship,5,4,193,4,high,F,4,5757,1,No,43.2
4860,F,Ship,5,3,231,2,low,M,8,5743,1,No,44.7
4861,D,Ship,4,1,212,3,low,M,3,4896,0,No,43.5
4862,F,Ship,3,4,185,2,medium,M,8,5449,1,No,42.7
4863,A,Ship,4,3,223,3,low,F,10,5560,1,No,42.9
4864,B,Ship,4,1,241,4,medium,M,9,5360,0,No,41.5
4865,C,Ship,5,4,215,3,low,F,5,5552,1,No,44.8
4866,F,Ship,4,5,261,2,medium,M,6,5920,0,No,42.9
4867,D,Ship,4,3,158,5,medium,F,7,4344,1,No,42.3
4868,F,Ship,3,3,166,2,medium,F,8,5871,0,No,41.4
4869,A,Ship,4,3,280,6,high,M,8,4525,0,No,41.6
4870,B,Ship,3,2,264,3,low,F,8,5831,0,No,42.5
4871,C,Ship,3,3,204,2,medium,M,6,5612,0,No,42.4
4872,F,Ship,4,4,261,2,medium,F,9,5306,1,No,42.4
4873,D,Ship,6,4,138,3,medium,F,4,4225,0,No,45.8
4874,F,Ship,4,4,225,2,medium,M,10,4829,1,No,42.4
4875,A,Ship,4,4,238,5,low,M,1,4753,0,No,42.5
4876,B,Ship,4,5,234,3,medium,F,3,5142,1,No,43.5
4877,C,Ship,4,2,237,3,low,F,7,4785,0,No,43.5
4878,F,Ship,3,3,165,3,medium,F,4,5924,1,No,43.5
4879,D,Ship,2,1,148,2,low,M,10,5939,1,No,42.2
4880,F,Ship,5,1,148,4,high,M,2,5821,1,No,43.9
4881,A,Ship,3,3,218,3,low,F,4,5086,1,No,43.5
4882,B,Ship,4,5,218,6,low,M,5,4364,1,No,42.2
4883,C,Ship,4,3,181,4,low,F,8,5106,0,No,41.9
4884,F,Ship,2,1,138,2,low,M,8,4932,1,No,41.0
4885,D,Ship,3,4,206,3,high,M,5,4022,0,Yes,56.7
4886,F,Ship,5,1,172,2,high,F,7,5165,0,No,44.5
4887,A,Ship,4,2,160,2,high,F,5,4343,0,No,42.5
4888,B,Ship,5,2,225,4,low,M,1,4328,1,No,43.2
4889,C,Ship,6,5,206,6,low,M,2,4014,1,Yes,63.1
4890,F,Ship,5,5,232,3,low,F,2,4545,1,No,45.7
4891,D,Ship,3,4,232,3,low,F,6,4050,0,Yes,53.8
4892,F,Ship,3,4,197,2,low,F,3,4865,0,No,43.0
4893,A,Ship,5,1,246,3,low,F,3,5013,0,No,45.3
4894,B,Ship,3,4,241,3,medium,M,3,4047,0,Yes,51.9
4895,C,Ship,6,5,211,4,medium,F,4,4032,0,Yes,51.9
4896,F,Ship,3,3,162,2,low,F,9,4903,0,No,42.2
4897,D,Ship,3,1,264,4,low,M,10,4265,0,No,39.9
4898,F,Ship,5,3,211,3,low,F,5,5087,0,No,45.1
4899,A,Ship,4,5,159,5,low,F,7,4063,0,No,49.3
4900,B,Ship,5,5,166,2,high,F,2,4562,1,No,44.7
4901,C,Ship,4,4,163,6,medium,M,1,4584,0,No,41.3
4902,F,Ship,4,3,164,2,low,M,3,5735,0,No,44.5
4903,D,Ship,5,1,255,3,high,M,6,4044,1,Yes,56.3
4904,F,Ship,4,3,153,3,medium,F,6,5748,0,No,44.2
4905,A,Ship,3,1,165,2,low,M,6,4445,0,No,42.8
4906,B,Road,3,2,162,3,medium,M,6,4505,1,No,43.5
4907,C,Road,3,1,223,3,low,M,8,5318,0,No,43.6
4908,F,Road,3,4,200,2,medium,F,6,4751,1,No,42.6
4909,D,Road,3,5,194,3,medium,F,3,4435,1,No,43.7
4910,F,Road,3,1,257,2,low,M,6,4897,1,No,42.6
4911,A,Road,2,1,188,2,low,M,5,5250,0,No,41.2
4912,B,Road,3,4,221,3,medium,F,1,5391,0,No,44.8
4913,C,Road,4,4,193,2,low,F,6,4855,1,No,42.7
4914,F,Road,3,1,166,2,low,M,2,5710,1,No,44.2
4915,D,Road,4,4,212,2,medium,M,8,4239,0,No,43.4
4916,F,Road,3,2,252,3,medium,M,7,4507,0,No,43.3
4917,A,Road,3,1,155,2,low,M,7,4221,1,No,43.8
4918,B,Road,4,5,244,4,medium,F,2,5365,1,No,41.4
4919,C,Road,3,3,162,2,medium,M,7,5719,1,No,43.6
4920,F,Road,2,1,228,2,medium,M,10,4854,1,No,41.6
4921,D,Road,4,3,208,3,medium,F,3,4837,1,No,43.5
4922,F,Road,5,3,156,3,medium,M,7,4293,0,No,47.3
4923,A,Road,3,1,209,2,high,F,1,5779,1,No,47.7
4924,B,Road,4,5,203,2,medium,F,8,4450,1,No,42.8
4925,C,Road,4,4,196,5,high,F,7,4622,0,No,41.3
4926,F,Road,4,4,256,3,low,M,8,4398,0,No,43.9
4927,D,Road,4,5,159,4,medium,F,4,4816,0,No,41.3
4928,F,Flight,5,5,137,4,low,M,4,5888,0,No,41.7
4929,A,Flight,2,5,271,3,low,M,4,5775,0,No,43.5
4930,B,Flight,5,1,264,2,medium,F,3,4056,1,Yes,52.5
4931,C,Flight,2,2,264,3,medium,M,1,4518,0,No,41.6
4932,F,Flight,4,3,205,2,medium,M,10,4178,1,No,41.7
4933,D,Flight,5,1,266,3,low,M,10,5858,0,No,42.2
4934,F,Flight,5,4,200,3,medium,F,8,5206,1,No,44.8
4935,A,Flight,4,4,154,6,medium,F,10,4361,1,No,41.0
4936,B,Flight,3,2,178,3,low,M,4,5119,1,No,43.5
4937,C,Flight,5,2,198,3,low,F,7,5768,1,No,46.4
4938,F,Flight,3,4,218,2,medium,M,2,5973,0,No,42.4
4939,D,Flight,4,4,185,3,high,F,6,4238,1,No,44.5
4940,F,Flight,3,4,235,3,low,M,4,5498,0,No,43.3
4941,A,Flight,3,5,251,3,high,F,4,4156,1,No,43.3
4942,B,Flight,5,2,275,5,low,F,9,5168,1,No,41.9
4943,C,Flight,5,2,156,5,low,M,9,5237,0,No,42.0
4944,F,Flight,3,5,135,3,low,M,3,4938,0,No,43.6
4945,D,Flight,4,1,143,3,medium,M,4,4283,0,No,44.0
4946,F,Flight,5,1,240,3,high,M,10,5277,0,No,44.1
4947,A,Flight,5,2,131,5,low,F,4,4600,1,No,41.5
4948,B,Flight,4,5,142,3,medium,M,2,5692,0,No,42.2
4949,C,Flight,5,4,275,4,low,F,7,4597,0,No,42.0
4950,F,Ship,5,5,137,3,low,M,5,5914,1,No,45.3
4951,D,Ship,3,3,165,4,medium,M,3,4235,0,No,41.1
4952,F,Ship,5,4,250,2,low,F,10,4277,0,No,44.0
4953,A,Ship,4,2,242,3,medium,M,10,4721,0,No,43.2
4954,B,Ship,3,3,181,3,medium,F,3,5620,1,No,43.4
4955,C,Ship,4,4,211,3,medium,M,5,4812,0,No,43.3
4956,F,Ship,2,2,177,4,low,M,8,5878,1,No,39.7
4957,D,Ship,3,3,135,3,medium,M,2,5860,0,No,42.8
4958,F,Ship,6,4,151,3,low,F,10,5414,1,No,44.2
4959,A,Ship,5,4,250,6,low,F,1,4343,0,No,42.3
4960,B,Ship,5,5,191,4,medium,F,10,4933,1,No,41.0
4961,C,Ship,2,4,158,5,medium,F,2,4303,1,No,41.1
4962,F,Ship,3,3,229,2,medium,F,1,5670,0,No,43.9
4963,D,Ship,4,5,169,4,low,M,6,4168,1,No,42.0
4964,F,Ship,5,1,164,3,low,M,7,4540,1,No,45.9
4965,A,Ship,4,1,177,2,medium,M,6,5566,0,No,42.4
4966,B,Ship,4,4,193,3,medium,M,8,4715,1,No,43.6
4967,C,Ship,4,1,198,3,medium,F,1,4090,0,Yes,51.0
4968,F,Ship,3,1,268,3,low,M,2,4746,1,No,43.9
4969,D,Ship,3,3,269,3,high,M,8,5910,0,No,43.5
4970,F,Ship,4,3,275,3,low,F,3,4824,0,No,43.5
4971,A,Ship,5,5,233,3,high,M,5,5330,0,No,44.8
4972,B,Ship,2,5,259,3,low,M,3,4770,1,No,41.7
4973,C,Ship,3,5,239,6,low,F,8,5791,1,No,44.1
4974,F,Ship,3,2,134,3,medium,F,3,5232,0,No,43.5
4975,D,Ship,5,4,131,8,low,M,7,4471,0,No,44.1
4976,F,Ship,4,2,194,8,medium,M,10,5995,0,No,48.7
4977,A,Ship,4,5,261,3,high,F,2,4954,1,No,43.6
4978,B,Ship,4,2,254,10,high,M,7,5820,0,No,44.2
4979,C,Ship,4,1,161,6,low,F,2,5734,0,No,43.2
4980,F,Ship,4,5,227,2,low,M,7,4414,0,No,43.2
4981,D,Ship,3,1,165,3,high,F,10,4208,0,No,43.0
4982,F,Ship,3,2,156,7,medium,F,9,5313,1,No,43.1
4983,A,Ship,3,3,262,7,high,F,9,5097,0,No,43.0
4984,B,Ship,4,3,263,3,low,M,4,4150,1,No,43.4
4985,C,Ship,4,2,196,3,low,M,1,5172,1,No,44.7
4986,F,Ship,6,1,152,2,low,F,3,1340,0,Yes,74.0
4987,D,Ship,7,1,278,4,low,M,10,1508,1,No,46.7
4988,F,Ship,6,4,260,4,medium,M,1,1726,0,No,48.3
4989,A,Ship,6,5,254,4,low,M,7,1674,0,No,46.5
4990,B,Ship,2,4,151,4,low,F,2,1150,0,Yes,55.5
4991,C,Ship,2,3,198,2,medium,F,6,1996,0,Yes,80.7
4992,F,Ship,6,2,243,4,low,M,9,1258,1,No,45.5
4993,D,Ship,6,2,245,4,low,F,10,1448,0,No,45.8
4994,F,Ship,3,5,268,3,low,F,6,5603,0,No,43.2
4995,A,Ship,3,3,269,3,high,F,6,4260,1,No,44.3
4996,B,Ship,4,4,275,3,low,M,10,5674,1,No,43.2
4997,C,Ship,5,2,233,3,high,M,7,5323,1,No,45.4
4998,F,Ship,2,2,259,3,low,M,6,4840,1,No,41.6
4999,D,Ship,3,3,239,6,low,M,7,4501,1,No,42.6
5000,F,Ship,3,3,134,3,medium,F,8,4950,0,No,43.5
5001,A,Ship,5,3,131,8,low,F,5,4149,1,No,44.1
5002,B,Ship,4,5,194,8,medium,F,9,4843,1,No,43.1
5003,C,Ship,4,2,261,3,high,M,1,4931,0,No,44.6
5004,F,Ship,4,5,254,10,high,M,7,5524,1,No,44.1
5005,D,Ship,4,3,161,6,low,M,6,5560,1,No,41.5
5006,F,Ship,4,4,227,2,low,F,7,4916,0,No,42.7
5007,A,Ship,3,4,165,3,high,M,10,4910,0,No,43.0
5008,B,Ship,3,3,156,7,medium,M,2,5467,0,No,42.6
5009,C,Ship,3,2,262,7,high,M,5,5985,1,No,48.9
5010,F,Ship,4,3,263,3,low,F,3,5253,0,No,43.4
5011,D,Ship,4,3,196,3,low,F,10,4194,1,No,43.0
5012,F,Ship,6,2,152,2,low,M,6,1711,0,Yes,75.7
5013,A,Ship,7,3,278,4,low,F,8,1909,1,No,47.2
5014,B,Ship,6,5,260,4,medium,F,10,1799,0,No,45.8
5015,C,Ship,6,2,254,4,low,M,4,1392,0,No,46.4
5016,F,Ship,2,3,151,4,low,F,3,1353,1,Yes,55.5
5017,D,Ship,2,3,198,2,medium,F,6,1730,1,Yes,82.6
5018,F,Ship,5,2,285,4,medium,F,7,1666,1,No,46.4
5019,A,Ship,7,1,306,4,medium,M,5,1467,0,No,46.7
5020,B,Ship,6,4,291,4,low,F,5,1327,0,No,46.4
5021,C,Ship,6,3,292,4,low,M,8,1925,0,No,45.9
5022,F,Ship,6,2,293,5,low,F,3,1969,0,No,46.8
